market_id,event_slug,market_slug,event_title,market_title,small_count,medium_count,large_count,whale_count,total_trades,small_volume,medium_volume,large_volume,whale_volume,small_volume_share,medium_volume_share,large_volume_share,whale_volume_share,small_max,medium_max,large_max,whale_threshold
will-ferdinand-ngoh-ngoh-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-ferdinand-ngoh-ngoh-win-the-cameroon-presidential-election,Will Ferdinand Ngoh Ngoh win the Cameroon Presidential Election?,Will Ferdinand Ngoh Ngoh win the Cameroon Presidential Election?,84,85,87,7,263,575.906919,2547.409744,25202.925784000003,19853.456665,0.01195331082623055,0.05287309366706947,0.5231025981588742,0.4120709973478259,14.29,72.0,1180.0,1191.9453790427388
will-franck-biya-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-franck-biya-win-the-cameroon-presidential-election,Will Franck Biya win the Cameroon Presidential Election?,Will Franck Biya win the Cameroon Presidential Election?,87,87,90,14,278,641.2950529999999,1994.004917,16363.989115000002,20955.194734999997,0.016050640420962894,0.04990691222500193,0.4095657746129781,0.524476672741057,13.283,34.482757,578.0,873.2614933128134
will-issa-tchiroma-bakary-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-issa-tchiroma-bakary-win-the-cameroon-presidential-election,Will Issa Tchiroma Bakary win the Cameroon Presidential Election?,Will Issa Tchiroma Bakary win the Cameroon Presidential Election?,164,163,169,21,517,648.47966,3964.238866,27929.105794,20471.358845000002,0.012232422602914642,0.07477835944432105,0.526833216316638,0.3861560016361263,9.7,50.505049,533.54,546.5224004997228
will-joshua-osih-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-joshua-osih-win-the-cameroon-presidential-election,Will Joshua Osih win the Cameroon Presidential Election?,Will Joshua Osih win the Cameroon Presidential Election?,52,87,72,10,221,239.392312,1967.1887760000002,20418.361569,19091.75,0.0057385256776781015,0.04715591411271451,0.4894530287164035,0.4576525314932039,9.98,53.0,1011.656,1074.6985224584894
will-maurice-kamto-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-maurice-kamto-win-the-cameroon-presidential-election,Will Maurice Kamto win the Cameroon Presidential Election?,Will Maurice Kamto win the Cameroon Presidential Election?,142,165,160,12,479,735.000376,6104.2797009999995,60092.919,38009.2175,0.007003911324759932,0.0581684515047596,0.572633007635334,0.36219462953514653,9.090908,102.67,1000.0,1305.5947782532749
will-paul-biya-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-paul-biya-win-the-cameroon-presidential-election,Will Paul Biya win the Cameroon Presidential Election?,Will Paul Biya win the Cameroon Presidential Election?,322026,321894,332083,23997,1000000,814172.336476,4362763.034976,47770830.745785,34890317.740932,0.009269012946487236,0.049668240054285516,0.543851011400931,0.39721173559829626,5.780345,29.53,632.0,647.4622565090124
will-samuel-etoo-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-samuel-etoo-win-the-cameroon-presidential-election,Will Samuel Eto’o win the Cameroon Presidential Election?,Will Samuel Eto’o win the Cameroon Presidential Election?,150,148,155,16,469,2401.8998810000003,14950.855833000001,36262.879438,22533.6355,0.03154199456455222,0.1963361658619816,0.47620783662814486,0.29591400294532133,52.0,107.46,671.77,777.6138113385016
will-tomano-ndam-njoya-win-the-cameroon-presidential-election_trades,cameroon-presidential-election,will-tomano-ndam-njoya-win-the-cameroon-presidential-election,Will Tomaïno Ndam Njoya win the Cameroon Presidential Election?,Will Tomaïno Ndam Njoya win the Cameroon Presidential Election?,89,89,92,9,279,249.625502,4306.555286000001,32828.184371,28569.34,0.0037848594161345043,0.06529663914434883,0.49774587025639283,0.4331726311831238,7.18,135.435,1092.48,1437.0303844262953
will-the-democrats-win-the-delaware-senate-race-in-2026_trades,delaware-senate-election-winner,will-the-democrats-win-the-delaware-senate-race-in-2026,Will the Democrats win the Delaware Senate race in 2026?,Will the Democrats win the Delaware Senate race in 2026?,3,3,4,1,11,3.2608500000000005,6.347823999999999,335.434775,627.93,0.0033514275269807495,0.006524149252504422,0.344752238968856,0.6453721842516589,1.08695,2.173912,170.0,467.81003248532403
will-the-republicans-win-the-delaware-senate-race-in-2026_trades,delaware-senate-election-winner,will-the-republicans-win-the-delaware-senate-race-in-2026,Will the Republicans win the Delaware Senate race in 2026?,Will the Republicans win the Delaware Senate race in 2026?,3,0,0,0,3,561.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,541.0,,,541.0
